Evidence_ID,Person_ID,Event_ID,Claim_Supported,Source_Title,Source_Publisher,Source_URL,Publication_Date,Source_Type,Primary_or_Secondary,Archived_URL,Date_Accessed,Relevant_Excerpt_or_Summary,Evidence_Strength
EV0001,P0001 ; P0002 ; P0003,E009,"Desmond Mongwe of MoWallet awarded R1m; Niel Pieters (Lazy Lizzard) and Percy Lawrence (MoveThisStuff) R350k each; 140 applications, 10 finalists; 100 delegates in Seed Academy acc","moWallet, Lazy Lizzard and MoveThisStuff win #Hack.Jozi Challenge",Innovation Village,https://innovation-village.com/mowallet-lazy-lizzard-and-movethisstuff-win-hack-jozi-challenge/,2015-07,News article,Secondary,Unknown,2026-08-26,"Desmond Mongwe of MoWallet awarded R1m; Niel Pieters (Lazy Lizzard) and Percy Lawrence (MoveThisStuff) R350k each; 140 applications, 10 finalists; 100 delegates in Seed Academy accelerator + technical hackathons",Strong
EV0002,P0001 ; P0002 ; P0003,E009,"Top 10 finalists named: Diepkloof Kasi Hive, MoveThisStuff, i-Tea, MoWallet, Atinov, Ghost, Tirisan Tech Solutions, South African Trade Solutions, Lazy Lizzard, How2Get2; MoWallet ",Hack Jozi Challenge is the real deal,City of Johannesburg (joburg.org.za),https://www.joburg.org.za/media_/Newsroom/Pages/2016%20&%202015%20Articles/hack-jozi-challenge-is-the-real-deal-ID9917.aspx,2015-08-11,Government news,Primary,Unknown,2026-08-26,"Top 10 finalists named: Diepkloof Kasi Hive, MoveThisStuff, i-Tea, MoWallet, Atinov, Ghost, Tirisan Tech Solutions, South African Trade Solutions, Lazy Lizzard, How2Get2; MoWallet R1m 1st; MoveThisStuff 2nd; Lazy Lizzard 3rd (per this source)",Strong
EV0003,P0001 ; P0002 ; P0003,E009,Winner Desmond Mongwe; 1st Runner Up Niel Pieters (Lazy Lizzard); 2nd Runner Up Percy Lawrence (Move This Stuff) — conflicts with joburg.org.za ordering,#HackJozi Challenge winner announced,Tshimologong Precinct (blog),https://tshimologong.wordpress.com/2015/07/10/hackjozi-challenge-winner-announced/,2015-07-10,Organiser blog,Primary,Unknown,2026-08-26,Winner Desmond Mongwe; 1st Runner Up Niel Pieters (Lazy Lizzard); 2nd Runner Up Percy Lawrence (Move This Stuff) — conflicts with joburg.org.za ordering,Strong
EV0004,P0004 ; P0005 ; P0006 ; P0007,E010,2016 winner Technovera (Neo Hutiri) R1m; runners-up Tuta-Me and eSubmit R350k each; 400+ applications; top 10; CoJ + JCSE Wits,E-health startup wins $64k at #Hack.Jozi Challenge,Disrupt Africa,https://disrupt-africa.com/2016/05/23/e-health-startup-wins-64k-at-hack-jozi-challenge/,2016-05-23,News article,Secondary,Unknown,2026-08-26,2016 winner Technovera (Neo Hutiri) R1m; runners-up Tuta-Me and eSubmit R350k each; 400+ applications; top 10; CoJ + JCSE Wits,Strong
EV0005,P0004 ; P0005 ; P0006 ; P0007,E010,"Neo Hutiri R1m; Abed Tau and Dylan Hyslop (Tuta-Me) 2nd; Lomile Mokoka (eSubmit, architect) 3rd",Hack.Jozi winners impress,ITWeb,https://www.itweb.co.za/article/hackjozi-winners-impress/XGxwQDq1rNZvlPVo,2016,News article,Secondary,Unknown,2026-08-26,"Neo Hutiri R1m; Abed Tau and Dylan Hyslop (Tuta-Me) 2nd; Lomile Mokoka (eSubmit, architect) 3rd",Strong
EV0006,P0001 ; P0002,E009,Desmond Mongwe (moWallet founder/CTO) PopApp Deals R1m; Niel Pieters (Lazy Lizzard founder/CEO) Teachinator R350k; 140 participants,Spaza shop discount App wins inaugural Hack.Jozi challenge,Engineering News,https://www.engineeringnews.co.za/print-version/digital-marketing-solution-wins-r1-million-in-hackjozi-challenge-2015-07-24,2015-07-24,News article,Secondary,Unknown,2026-08-26,Desmond Mongwe (moWallet founder/CTO) PopApp Deals R1m; Niel Pieters (Lazy Lizzard founder/CEO) Teachinator R350k; 140 participants,Strong
EV0007,P0008 ; P0009 ; P0010 ; P0011,E015,"GirlCodeHack 2017 (JHB, 70+ women): winners The Rubies (UCT), project Amava; 2nd Grapes; 3rd Techtress (Kgosigadi app)",The Largest All-Female Hackathon In South Africa Concluded With A Trip To Silicon Valley For The Winners,iAfrikan,https://www.iafrikan.com/2017/08/12/girlcode-the-largest-all-female-hackathon-in-south-africa/,2017-08-12,News article,Secondary,Unknown,2026-08-26,"GirlCodeHack 2017 (JHB, 70+ women): winners The Rubies (UCT), project Amava; 2nd Grapes; 3rd Techtress (Kgosigadi app)",Strong
EV0008,P0008 ; P0009 ; P0010 ; P0011,E015,"Rubies team members: Kungela Mzuku, Fadzai Mupfunya, Lorna Nqodi, Valerie Tshiani (UCT); 4th annual #GirlCodeHack, 6 Aug 2017, Johannesburg",UCT students win women-only hackathon,Brand South Africa,https://www.brandsouthafrica.com/investments-immigration/uct-students-win-women-only-hackathon,2017-08-10,News article,Secondary,Unknown,2026-08-26,"Rubies team members: Kungela Mzuku, Fadzai Mupfunya, Lorna Nqodi, Valerie Tshiani (UCT); 4th annual #GirlCodeHack, 6 Aug 2017, Johannesburg",Strong
EV0009,Unknown,E016,"8th edition (Takealot partnership, theme 'Break the bias'): 1st NTV; 2nd Hack-Gen; 3rd Hack Invasion Girls; member names not published",Winners of GirlCode's women-only hackathon named,ITWeb,https://www.itweb.co.za/article/winners-of-girlcodes-women-only-hackathon-named/Gb3BwMW8GOrq2k6V,2022-03-11,News article,Secondary,Unknown,2026-08-26,"8th edition (Takealot partnership, theme 'Break the bias'): 1st NTV; 2nd Hack-Gen; 3rd Hack Invasion Girls; member names not published",Strong
EV0010,Unknown,E017,"11th edition, 30-hour, 8 African cities: city winners incl. TechGurlies (JHB, FinLit GPT), Ndlela (CPT, AI Career Coach), CyberShield Africa (DBN, Rural Cyber App); overall winner ",SA teams recognised at GirlCodeHack 2025,ITWeb,https://www.itweb.co.za/article/sa-teams-recognised-at-girlcodehack-2025/RgeVDvPR9WXMKJN3,2025-10-21,News article,Secondary,Unknown,2026-08-26,"11th edition, 30-hour, 8 African cities: city winners incl. TechGurlies (JHB, FinLit GPT), Ndlela (CPT, AI Career Coach), CyberShield Africa (DBN, Rural Cyber App); overall winner Tokiva Sisters (Tanzania) R100k",Strong
