Unresolved_ID,Name_As_Published,Hackathon,Context_What_Is_Missing,Suggested_Next_Avenues,Evidence_Source_IDs,Status,Date_Noted
U001,Diepkloof Kasi Hive,Hack.Jozi Challenge 2015,Top-10 finalist team; members never published in located coverage,"Search team name, JCSE/Tshimologong archives, LinkedIn",S02,Unresolved — not publicly verified,2026-08-26
U002,i-Tea,Hack.Jozi Challenge 2015,Top-10 finalist team; members never published,"Search team name, archived coverage",S02,Unresolved — not publicly verified,2026-08-26
U003,Atinov,Hack.Jozi Challenge 2015,Top-10 finalist team; members never published,Search team name,S02,Unresolved — not publicly verified,2026-08-26
U004,Ghost (team),Hack.Jozi Challenge 2015,Top-10 finalist team; members never published,Search team name,S02,Unresolved — not publicly verified,2026-08-26
U005,Tirisan Tech Solutions,Hack.Jozi Challenge 2015,Top-10 finalist team; members never published,Search team name,S02,Unresolved — not publicly verified,2026-08-26
U006,South African Trade Solutions,Hack.Jozi Challenge 2015,Top-10 finalist team; members never published,Search team name,S02,Unresolved — not publicly verified,2026-08-26
U007,How2Get2,Hack.Jozi Challenge 2015,Top-10 finalist team; members never published,Search team name,S02,Unresolved — not publicly verified,2026-08-26
U008,Hack.Jozi 2016 top-10 non-winning finalists (9 teams),Hack.Jozi Challenge 2016,Top-10 finalist team names not published in located coverage,"Obtain finalist list (CoJ/JCSE archives, Wayback)",S04,Unresolved — not publicly verified,2026-08-26
U009,Grapes (team),GirlCodeHack 2017,2nd place team; members not published,"Search '#GirlCodeHack 2017 Grapes', organiser socials",S07,Unresolved — not publicly verified,2026-08-26
U010,Techtress (team),GirlCodeHack 2017,3rd place team (Kgosigadi app); members not published,Search team + app name,S07,Unresolved — not publicly verified,2026-08-26
U011,NTV (team),GirlCodeHack 2022,Winning team; members not published,"GirlCode socials, Takealot announcements",S09,Unresolved — not publicly verified,2026-08-26
U012,Hack-Gen (team),GirlCodeHack 2022,2nd place team; members not published,As above,S09,Unresolved — not publicly verified,2026-08-26
U013,Hack Invasion Girls (team),GirlCodeHack 2022,3rd place team; members not published,As above,S09,Unresolved — not publicly verified,2026-08-26
U014,TechGurlies / Tech Gullies (team),GirlCodeHack 2025,JHB city winner + continental 2nd; member names not published; two spellings across sources (contradiction logged),Search team name across ITWeb/Absa/GirlCode posts,"S10,S11",Unresolved — not publicly verified,2026-08-26
U015,Ndlela (team),GirlCodeHack 2025,Cape Town city winner (AI Career Coach); members not published,Search team name,S10,Unresolved — not publicly verified,2026-08-26
U016,CyberShield Africa (team),GirlCodeHack 2025,Durban city winner (Rural Cyber App); members not published,Search team name,S10,Unresolved — not publicly verified,2026-08-26
U017,Khululeka team — full roster,#SS19Hack 2019,Winning team; photo caption lists names but may include sponsor/judge representatives; Ivan Regasek affiliation ambiguous,Original ITWeb photo; organiser records,S45,Unresolved — not publicly verified,2026-08-26
U018,Dumela (Kimberley team),#SS19Hack 2019,2nd place; members not published,"Northern Cape media, organiser socials",S45,Unresolved — not publicly verified,2026-08-26
